lemma,upos,verb_form,case_counts,example_wordform,count
друг,NOUN,,Acc:14|Dat:11|Gen:17|Ins:9|Nom:39,друга,90
язык,NOUN,,Acc:6|Dat:1|Gen:27|Ins:12|Loc:10|Nom:31,языков,87
теперь,ADV,,,теперь,85
важный,ADJ,,Acc:10|Gen:4|Ins:10|Nom:6,важное,84
неделя,NOUN,,Acc:38|Gen:27|Ins:3|Loc:11|Nom:5,недель,84
даже,PART,,,даже,84
жизнь,NOUN,,Acc:19|Dat:3|Gen:33|Ins:3|Loc:13|Nom:11,жизни,82
сначала,ADV,,,сначала,82
один,DET,,Acc:14|Dat:2|Gen:11|Ins:2|Loc:6|Nom:46,одно,81
три,NUM,,Acc:38|Gen:19|Ins:1|Nom:23,три,81
его,DET,,,его,79
дом,NOUN,,Acc:10|Dat:2|Gen:34|Ins:5|Loc:14|Nom:14,дом,79
больше,ADV,,,больше,77
между,ADP,,,между,76
хотя,SCONJ,,,хотя,75
последний,ADJ,,Acc:57|Gen:8|Loc:2|Nom:7,последние,74
зависеть,VERB,Fin,,зависит,74
вода,NOUN,,Acc:22|Dat:2|Gen:24|Ins:5|Loc:2|Nom:19,воды,74
правило,NOUN,,Acc:14|Dat:5|Gen:9|Ins:2|Loc:4|Nom:39,правила,73
утро,NOUN,,Acc:8|Dat:7|Gen:25|Ins:27|Nom:4,утро,71
стоить,VERB,Fin,,стоит,71
оказаться,VERB,Fin,,оказался,71
месяц,NOUN,,Acc:37|Gen:22|Ins:2|Loc:3|Nom:5,месяц,69
там,ADV,,,там,69
час,NOUN,,Acc:11|Dat:3|Gen:45|Ins:4|Loc:1|Nom:4,часах,68
какой,DET,,Acc:16|Dat:3|Gen:1|Ins:4|Loc:8|Nom:36,каком,68
очень,ADV,,,очень,68
например,ADV,,,Например,68
сегодня,ADV,,,Сегодня,67
кто,PRON,,Acc:2|Dat:9|Gen:4|Ins:8|Nom:44,кто,67
мой,DET,,Acc:10|Dat:3|Gen:7|Ins:5|Loc:7|Nom:35,Мой,67
ребёнок,NOUN,,Acc:3|Dat:7|Gen:18|Ins:11|Nom:28,ребёнка,67
некоторый,DET,,Acc:6|Dat:6|Gen:11|Loc:11|Nom:32,некоторых,66
большой,ADJ,,Acc:16|Dat:3|Gen:8|Ins:5|Loc:8|Nom:20,большую,66
дело,NOUN,,Acc:5|Dat:4|Gen:6|Ins:8|Loc:15|Nom:26,делом,64
система,NOUN,,Acc:9|Dat:3|Gen:20|Ins:5|Loc:4|Nom:23,систем,64
кто-то,PRON,,Acc:1|Dat:10|Gen:4|Ins:2|Loc:2|Nom:44,кто-то,63
нет,VERB,Fin,,нет,63
минута,NOUN,,Acc:8|Gen:52|Loc:2|Nom:1,минут,63
перед,ADP,,,перед,62
вот,PART,,,вот,62
общий,ADJ,,Acc:18|Dat:4|Gen:14|Ins:6|Loc:8|Nom:10,общее,60
говорить,VERB,Fin,,говорит,60
что-то,PRON,,Acc:27|Dat:1|Gen:4|Ins:3|Loc:1|Nom:23,что-то,59
давать,VERB,Fin,,даёт,58
их,DET,,,их,58
сейчас,ADV,,,Сейчас,58
век,NOUN,,Acc:6|Dat:2|Gen:32|Ins:3|Loc:15,века,58
пять,NUM,,Acc:22|Dat:2|Gen:16|Nom:17,пять,57
тоже,PART,,,тоже,56
более,ADV,,,более,56
сразу,ADV,,,сразу,56
семья,NOUN,,Acc:2|Dat:1|Gen:17|Ins:2|Loc:21|Nom:12,семьи,55
именно,PART,,,именно,55
история,NOUN,,Acc:13|Dat:1|Gen:13|Ins:3|Loc:7|Nom:18,История,55
вид,NOUN,,Acc:4|Dat:4|Gen:16|Ins:5|Loc:13|Nom:12,вид,54
конец,NOUN,,Acc:1|Dat:4|Gen:10|Loc:37|Nom:2,конца,54
конечно,ADV,,,конечно,54
двадцать,NUM,,Acc:29|Gen:8|Nom:17,двадцать,54
телефон,NOUN,,Acc:20|Dat:4|Gen:13|Ins:5|Loc:4|Nom:7,телефона,53
сторона,NOUN,,Acc:10|Dat:3|Gen:26|Ins:3|Loc:4|Nom:7,стороны,53
иногда,ADV,,,иногда,53
всегда,ADV,,,всегда,53
её,DET,,,её,53
рука,NOUN,,Acc:12|Gen:10|Ins:19|Loc:5|Nom:7,рук,53
работать,VERB,Fin,,работал,53
наш,DET,,Acc:7|Dat:4|Gen:12|Loc:11|Nom:18,нашей,52
компания,NOUN,,Acc:5|Dat:2|Gen:12|Ins:2|Loc:10|Nom:21,компании,52
тогда,ADV,,,тогда,51
немного,ADV,,,немного,51
современный,ADJ,,Acc:11|Dat:3|Gen:15|Ins:1|Loc:6|Nom:15,современном,51
русский,ADJ,,Acc:6|Dat:1|Gen:14|Ins:1|Loc:10|Nom:19,русский,51
квартира,NOUN,,Acc:16|Dat:2|Gen:10|Ins:1|Loc:8|Nom:13,квартиры,50
делать,VERB,Fin,,делают,50
брать,VERB,Fin,,взяли,50
крупный,ADJ,,Acc:7|Dat:1|Gen:14|Ins:6|Loc:11|Nom:10,крупных,49
однако,ADV,,,однако,49
спор,NOUN,,Acc:11|Gen:8|Ins:1|Loc:2|Nom:27,споров,49
из-за,ADP,,,из-за,49
оставаться,VERB,Fin,,остаются,49
заранее,ADV,,,заранее,49
хотеть,VERB,Fin,,хочу,49
делать,VERB,Inf,,Сделать,48
старый,ADJ,,Acc:17|Dat:5|Gen:9|Ins:3|Loc:2|Nom:11,старыми,48
следующий,ADJ,,Acc:25|Dat:2|Gen:5|Ins:3|Loc:9|Nom:4,следующим,48
видеть,VERB,Fin,,видим,48
пара,NOUN,,Acc:26|Dat:2|Gen:5|Loc:3|Nom:12,пара,48
мир,NOUN,,Acc:4|Dat:7|Gen:26|Ins:1|Loc:7|Nom:3,миру,48
право,NOUN,,Acc:7|Dat:1|Gen:12|Ins:4|Loc:8|Nom:16,правах,48
здесь,ADV,,,Здесь,48
слово,NOUN,,Acc:6|Dat:1|Gen:17|Ins:10|Loc:2|Nom:12,слова,48
вместе,ADV,,,вместе,47
отдельный,ADJ,,Acc:12|Dat:1|Gen:9|Ins:3|Loc:7|Nom:15,отдельные,47
результат,NOUN,,Acc:14|Dat:4|Gen:2|Ins:5|Loc:2|Nom:20,результаты,47
сказать,VERB,Fin,,сказал,47
рано,ADV,,,раньше,47
традиция,NOUN,,Acc:10|Dat:4|Gen:13|Ins:2|Loc:4|Nom:14,традициями,47
книга,NOUN,,Acc:15|Gen:12|Ins:3|Loc:4|Nom:13,книгах,47
россия,PROPN,,Acc:1|Gen:16|Ins:1|Loc:23|Nom:5,Россия,46
условие,NOUN,,Acc:10|Dat:2|Gen:7|Ins:3|Loc:12|Nom:11,условия,45
далеко,ADV,,,далеко,45
пора,NOUN,,Gen:40|Nom:5,пор,45
считать,VERB,Fin,,считают,45
небольшой,ADJ,,Acc:17|Dat:1|Gen:6|Ins:4|Loc:3|Nom:13,небольшой,45
вещь,NOUN,,Acc:17|Dat:2|Gen:10|Ins:4|Loc:3|Nom:8,вещей,44
решить,VERB,Fin,,решили,44
смотреть,VERB,Fin,,смотрю,44
особенно,ADV,,,особенно,43
быстро,ADV,,,быстро,43
число,NOUN,,Acc:8|Dat:2|Gen:7|Loc:15|Nom:11,число,43
цена,NOUN,,Acc:8|Dat:6|Gen:16|Ins:3|Loc:2|Nom:8,цены,43
деньги,NOUN,,Acc:16|Gen:16|Ins:1|Loc:1|Nom:9,денег,43
потому,ADV,,,потому,43
хорошо,ADV,,,лучше,43
заметно,ADV,,,заметно,43
школа,NOUN,,Acc:5|Gen:10|Ins:4|Loc:17|Nom:7,школы,43
спасибо,NOUN,,Nom:43,Спасибо,43
стол,NOUN,,Acc:7|Dat:2|Gen:6|Ins:10|Loc:11|Nom:6,столе,42
второй,ADJ,,Acc:14|Dat:1|Gen:5|Loc:15|Nom:7,втором,42
данные,NOUN,,Acc:7|Dat:13|Gen:12|Loc:1|Nom:9,данным,42
простой,ADJ,,Acc:6|Dat:3|Gen:7|Ins:8|Loc:3|Nom:5,простому,42
дорога,NOUN,,Acc:11|Dat:7|Gen:8|Ins:2|Loc:5|Nom:9,дорогу,42
пока,SCONJ,,,пока,42
пожалуйста,ADV,,,пожалуйста,42
над,ADP,,,над,41
решение,NOUN,,Acc:7|Dat:1|Gen:15|Ins:1|Loc:4|Nom:13,решениях,41
мало,ADV,,,меньше,41
сильно,ADV,,,сильнее,41
местный,ADJ,,Acc:8|Dat:1|Gen:11|Ins:6|Loc:5|Nom:10,местной,41
да,PART,,,Да,41
маленький,ADJ,,Acc:13|Gen:1|Ins:5|Loc:5|Nom:16,маленькие,40
способ,NOUN,,Acc:4|Gen:10|Ins:2|Loc:1|Nom:23,способом,40
изменение,NOUN,,Acc:8|Dat:4|Gen:5|Ins:2|Loc:1|Nom:20,изменений,40
праздник,NOUN,,Acc:2|Dat:2|Gen:8|Ins:4|Loc:1|Nom:23,праздник,40
группа,NOUN,,Acc:7|Dat:8|Gen:12|Ins:2|Loc:2|Nom:9,группа,40
отношение,NOUN,,Acc:10|Dat:3|Gen:9|Ins:1|Loc:5|Nom:12,отношения,40
знать,VERB,Fin,,знает,40
привычка,NOUN,,Acc:6|Dat:7|Gen:8|Ins:6|Nom:13,привычки,40
бывать,VERB,Fin,,бывает,40
карта,NOUN,,Acc:9|Dat:2|Gen:10|Ins:5|Loc:4|Nom:9,карте,39
давно,ADV,,,давно,39
проблема,NOUN,,Acc:11|Dat:2|Gen:9|Ins:4|Loc:1|Nom:12,проблемы,39
случай,NOUN,,Acc:12|Dat:1|Gen:6|Loc:18|Nom:2,случаю,39
опыт,NOUN,,Acc:6|Dat:3|Gen:8|Ins:5|Loc:1|Nom:16,опыт,39
совсем,ADV,,,совсем,39
текст,NOUN,,Acc:8|Dat:1|Gen:14|Ins:3|Loc:4|Nom:9,текст,39
международный,ADJ,,Acc:3|Dat:2|Gen:8|Ins:1|Loc:12|Nom:13,Международная,39
номер,NOUN,,Acc:10|Dat:6|Gen:2|Ins:2|Loc:3|Nom:16,номер,39
прийтись,VERB,Fin,,Пришлось,38
причина,NOUN,,Acc:7|Dat:4|Gen:8|Ins:6|Loc:2|Nom:11,Причины,38
граница,NOUN,,Acc:13|Gen:2|Ins:6|Loc:3|Nom:14,границу,38
вчера,ADV,,,Вчера,38
долго,ADV,,,долго,38
примерно,ADV,,,примерно,38
трудный,ADJ,,Acc:6|Gen:2|Ins:2|Nom:2,трудные,38
машина,NOUN,,Acc:13|Dat:3|Gen:9|Ins:2|Loc:4|Nom:7,машин,38
пока,ADV,,,Пока,37
родитель,NOUN,,Acc:1|Dat:5|Gen:9|Ins:5|Loc:1|Nom:16,родители,37
магазин,NOUN,,Acc:11|Gen:10|Loc:11|Nom:5,магазин,37
помогать,VERB,Fin,,помогает,37
полезный,ADJ,,Acc:1|Dat:1|Gen:4|Ins:1|Nom:1,полезно,37
ничто,PRON,,Gen:37,ничего,37
тысяча,NOUN,,Acc:2|Dat:1|Gen:31|Ins:2|Nom:1,тысяч,37
рядом,ADV,,,рядом,37
меняться,VERB,Fin,,менялись,37
идти,VERB,Fin,,иду,36
сложный,ADJ,,Acc:1|Dat:2|Gen:7|Ins:3|Loc:3|Nom:4,сложных,36
труд,NOUN,,Acc:2|Dat:1|Gen:27|Ins:4|Nom:2,трудом,36
сорок,NUM,,Acc:10|Dat:1|Gen:9|Loc:1|Nom:15,сорок,36
ночь,NOUN,,Acc:7|Gen:17|Ins:11|Nom:1,Ночью,36
культура,NOUN,,Acc:10|Dat:2|Gen:10|Ins:2|Loc:8|Nom:4,культура,36
главный,ADJ,,Acc:4|Gen:9|Ins:5|Loc:2|Nom:16,главный,36
жить,VERB,Fin,,живут,36
постепенно,ADV,,,постепенно,36
свет,NOUN,,Acc:7|Gen:15|Loc:1|Nom:13,света,36
помощь,NOUN,,Acc:8|Gen:8|Ins:16|Loc:2|Nom:2,помощью,36
известный,ADJ,,Acc:1|Gen:12|Ins:1|Nom:8,известна,36
мама,NOUN,,Acc:3|Dat:5|Gen:1|Ins:2|Nom:25,маме,36
связать,VERB,Part,Acc:5|Gen:2|Loc:1|Nom:6,связано,35
существовать,VERB,Fin,,существует,35
имя,NOUN,,Acc:13|Dat:3|Gen:4|Ins:8|Nom:7,имена,35
зато,CCONJ,,,Зато,35
лёгкий,ADJ,,Acc:4|Ins:2|Loc:3|Nom:6,легче,35
наверное,ADV,,,Наверное,34
задача,NOUN,,Acc:7|Dat:2|Gen:15|Ins:1|Loc:2|Nom:7,задачи,34
возможность,NOUN,,Acc:6|Dat:4|Gen:5|Ins:1|Loc:1|Nom:17,возможности,34
прямо,ADV,,,прямо,34
бабушка,NOUN,,Acc:1|Dat:3|Gen:6|Nom:24,бабушке,34
фотография,NOUN,,Acc:7|Gen:7|Ins:6|Loc:5|Nom:9,фотографиями,34
то,SCONJ,,,то,34
социальный,ADJ,,Acc:7|Dat:3|Gen:11|Ins:1|Loc:3|Nom:9,социального,34
показывать,VERB,Fin,,показывает,34
многое,NOUN,,Acc:2|Dat:1|Loc:15|Nom:16,многом,34
начало,NOUN,,Acc:4|Dat:1|Gen:7|Ins:6|Loc:14|Nom:2,началом,34
по-разному,ADV,,,по-разному,34
становиться,VERB,Fin,,становится,34
нередко,ADV,,,нередко,34
огромный,ADJ,,Acc:10|Dat:2|Gen:3|Ins:4|Loc:4|Nom:11,огромном,34
пройти,VERB,Fin,,прошли,34
различаться,VERB,Fin,,различаются,34
обязательно,ADV,,,обязательно,34
интернет,NOUN,,Acc:5|Gen:5|Loc:11|Nom:13,интернет,34
около,ADP,,,около,33
наконец,ADV,,,Наконец,33
любой,DET,,Acc:10|Gen:11|Ins:2|Loc:5|Nom:5,любой,33
окно,NOUN,,Acc:5|Dat:2|Gen:12|Ins:8|Loc:2|Nom:4,окном,33
музыка,NOUN,,Acc:10|Gen:9|Loc:2|Nom:12,музыки,33
итог,NOUN,,Dat:1|Loc:27|Nom:4,итоге,32
ставить,VERB,Fin,,ставит,32
шесть,NUM,,Acc:19|Gen:9|Nom:4,шесть,32
процент,NOUN,,Acc:2|Gen:28|Ins:2,процентов,32
пример,NOUN,,Acc:6|Dat:1|Gen:6|Loc:6|Nom:13,примеров,32
слишком,ADV,,,слишком,32
закон,NOUN,,Acc:5|Dat:4|Gen:5|Ins:6|Loc:1|Nom:11,законом,32
банк,NOUN,,Acc:7|Gen:7|Ins:2|Loc:5|Nom:11,банки,32
удобный,ADJ,,Acc:4|Gen:1|Ins:4|Nom:5,удобнее,32
собственный,ADJ,,Acc:7|Gen:5|Ins:7|Loc:6|Nom:7,собственной,32
похожий,ADJ,,Acc:3|Dat:2|Gen:2|Ins:4|Loc:4|Nom:8,похожей,32
врач,NOUN,,Acc:1|Dat:8|Gen:6|Ins:3|Nom:14,врачу,32
выходить,VERB,Fin,,выходил,31
форма,NOUN,,Acc:8|Dat:2|Gen:7|Ins:1|Loc:7|Nom:6,форм,31
документ,NOUN,,Acc:11|Gen:7|Ins:3|Loc:3|Nom:7,документ,31
срок,NOUN,,Acc:10|Gen:4|Ins:1|Loc:2|Nom:14,сроки,31
называть,VERB,Fin,,называет,31
десять,NUM,,Acc:13|Dat:1|Gen:7|Ins:1|Nom:8,десять,31
также,ADV,,,также,31
честно,ADV,,,честно,31
государство,NOUN,,Acc:1|Gen:11|Ins:2|Loc:4|Nom:13,государства,31
начать,VERB,Fin,,начал,31
насколько,ADV,,,насколько,31
поздно,ADV,,,позже,31
смысл,NOUN,,Acc:7|Gen:3|Ins:1|Loc:10|Nom:10,смысл,31
скорее,ADV,,,скорее,31
должен,ADJ,,,должен,30
проходить,VERB,Fin,,проходит,30
очередь,NOUN,,Acc:10|Dat:6|Loc:3|Nom:11,очередь,30
ответ,NOUN,,Acc:10|Gen:11|Ins:2|Nom:7,ответ,30
высокий,ADJ,,Acc:4|Gen:3|Ins:5|Loc:3|Nom:11,высокой,30
игра,NOUN,,Acc:5|Dat:2|Gen:4|Ins:4|Loc:2|Nom:13,игры,30
организация,NOUN,,Acc:1|Dat:2|Gen:11|Loc:5|Nom:11,организации,30
внимание,NOUN,,Acc:15|Gen:10|Ins:2|Nom:3,внимание,30
связь,NOUN,,Acc:6|Dat:2|Gen:9|Ins:1|Loc:4|Nom:8,связи,30
голова,NOUN,,Acc:10|Gen:2|Ins:7|Loc:2|Nom:9,голова,30
короткий,ADJ,,Acc:8|Dat:1|Gen:5|Ins:2|Loc:1|Nom:10,короткую,30
оба,NUM,,Acc:3|Dat:1|Gen:8|Loc:3|Nom:15,обе,30
четыре,NUM,,Acc:14|Gen:6|Ins:1|Loc:1|Nom:7,четырёх,29
тридцать,NUM,,Acc:11|Gen:11|Nom:7,тридцати,29
доход,NOUN,,Acc:7|Gen:14|Ins:2|Loc:1|Nom:5,доходов,29
где-то,ADV,,,где-то,29
заметный,ADJ,,Acc:10|Gen:2|Ins:2|Nom:6,заметное,29
использовать,VERB,Fin,,используются,29
куда,ADV,,,куда,29
регион,NOUN,,Acc:2|Dat:5|Gen:10|Ins:1|Loc:9|Nom:2,регионам,29
ряд,NOUN,,Acc:5|Dat:1|Gen:6|Ins:2|Loc:7|Nom:8,ряде,29
вокруг,ADP,,,вокруг,29
разговор,NOUN,,Acc:5|Dat:3|Gen:2|Ins:1|Loc:5|Nom:13,разговоры,29
здравствовать,VERB,Fin,,Здравствуйте,29
все,PART,,,всё,28
личный,ADJ,,Acc:7|Dat:3|Gen:5|Ins:3|Loc:2|Nom:8,личное,28
кроме,ADP,,,Кроме,28
ни,PART,,,ни,28
приложение,NOUN,,Acc:13|Gen:7|Loc:6|Nom:2,приложения,28
рабочий,ADJ,,Acc:7|Gen:14|Ins:1|Loc:2|Nom:4,рабочей,28
выбор,NOUN,,Acc:2|Dat:1|Gen:5|Ins:2|Loc:2|Nom:16,выбору,28
модель,NOUN,,Acc:7|Dat:1|Gen:11|Loc:2|Nom:7,модель,28
про,ADP,,,про,28
центр,NOUN,,Acc:6|Dat:1|Gen:4|Ins:2|Loc:11|Nom:4,центров,28
основной,ADJ,,Acc:5|Dat:1|Gen:3|Ins:1|Loc:11|Nom:7,основном,28
назад,ADV,,,назад,28
возраст,NOUN,,Acc:1|Dat:1|Gen:13|Ins:4|Loc:6|Nom:3,возраста,28
сидеть,VERB,Fin,,сидит,28
общество,NOUN,,Acc:5|Dat:1|Gen:6|Ins:4|Loc:6|Nom:5,обществом,27
сумма,NOUN,,Acc:15|Dat:1|Gen:7|Nom:4,суммы,27
технология,NOUN,,Acc:2|Dat:1|Gen:13|Nom:11,технологии,27
коллега,NOUN,,Acc:4|Dat:3|Gen:3|Ins:5|Nom:12,коллегами,27
продукт,NOUN,,Acc:7|Dat:1|Gen:11|Ins:1|Nom:7,продуктами,27
семь,NUM,,Acc:13|Dat:1|Gen:6|Nom:7,семь,27
стоять,VERB,Fin,,Стою,27
сей,DET,,Gen:27,сих,27
менее,ADV,,,менее,27
точно,ADV,,,точнее,27
реальный,ADJ,,Acc:8|Dat:2|Gen:3|Ins:1|Loc:4|Nom:8,реальная,27
мера,NOUN,,Acc:2|Dat:3|Gen:12|Ins:1|Loc:1|Nom:8,меры,27
фильм,NOUN,,Acc:4|Gen:8|Ins:2|Loc:3|Nom:10,фильмах,27
вообще,ADV,,,вообще,27
программа,NOUN,,Acc:3|Dat:2|Gen:10|Loc:1|Nom:11,программы,27
думать,VERB,Fin,,думал,27
говорить,VERB,Inf,,говорить,27
ваш,DET,,Acc:7|Gen:5|Ins:1|Loc:3|Nom:11,вашу,27
единый,ADJ,,Acc:1|Dat:2|Gen:17|Loc:4|Nom:2,единого,27
найти,VERB,Fin,,нашла,27
звонить,VERB,Fin,,звонит,26
сосед,NOUN,,Acc:2|Dat:2|Gen:5|Ins:3|Nom:14,сосед,26
улица,NOUN,,Acc:6|Gen:10|Loc:7|Nom:3,улице,26
поддержка,NOUN,,Acc:7|Dat:1|Gen:14|Nom:4,поддержки,26
много,ADV,,,много,26
служба,NOUN,,Acc:7|Gen:13|Loc:1|Nom:5,службы,26
настоящий,ADJ,,Acc:4|Gen:1|Ins:7|Loc:2|Nom:12,настоящий,26
использование,NOUN,,Acc:6|Gen:13|Ins:3|Loc:1|Nom:3,использования,26
никто,PRON,,Acc:1|Dat:2|Gen:4|Ins:1|Nom:18,никем,26
среда,NOUN,,Acc:6|Dat:4|Gen:5|Loc:9|Nom:2,среда,26
инструмент,NOUN,,Acc:3|Gen:11|Ins:3|Nom:9,инструментом,26
событие,NOUN,,Acc:4|Dat:1|Gen:9|Ins:3|Loc:2|Nom:7,событиями,26
считать,VERB,Inf,,считать,26
красный,ADJ,,Acc:2|Dat:1|Gen:6|Ins:6|Loc:2|Nom:9,красный,26
список,NOUN,,Acc:14|Dat:1|Gen:1|Ins:2|Nom:8,список,26
понимать,VERB,Fin,,понимаю,25
товар,NOUN,,Acc:7|Gen:11|Ins:1|Loc:2|Nom:4,товар,25
ситуация,NOUN,,Acc:4|Dat:2|Gen:5|Ins:5|Loc:4|Nom:5,ситуации,25
способный,ADJ,,Gen:2|Nom:4,способна,25
ответственность,NOUN,,Acc:8|Dat:1|Gen:7|Loc:2|Nom:7,ответственности,25
половина,NOUN,,Acc:5|Gen:2|Ins:5|Loc:8|Nom:5,половина,25
бы,PART,,,бы,25
прошлый,ADJ,,Acc:3|Dat:1|Gen:4|Ins:6|Loc:11,прошлом,25
тема,NOUN,,Acc:8|Dat:4|Gen:6|Ins:2|Loc:1|Nom:4,темами,25
поездка,NOUN,,Acc:7|Gen:5|Ins:3|Loc:5|Nom:5,поездки,25
ходить,VERB,Fin,,ходил,25
уровень,NOUN,,Acc:4|Gen:11|Ins:1|Loc:5|Nom:4,уровня,25
редко,ADV,,,редко,25
река,NOUN,,Acc:4|Dat:2|Gen:5|Ins:2|Loc:6|Nom:6,реке,25
влияние,NOUN,,Acc:6|Dat:3|Gen:1|Ins:6|Loc:3|Nom:6,влияние,25
длинный,ADJ,,Acc:3|Gen:2|Ins:2|Loc:3|Nom:12,длинный,25
момент,NOUN,,Acc:15|Gen:5|Nom:5,момента,25
детский,ADJ,,Acc:5|Gen:7|Ins:2|Loc:3|Nom:8,детские,25
целый,ADJ,,Acc:6|Dat:1|Gen:6|Ins:2|Loc:1|Nom:9,целая,25
